Capacity (kW),Year,Model,Price (BDT)
22.0,2025,FR-A840-22K-1 (44.0A),"235,800"
30.0,2024,FR-F840-30K-1 (62A),"1,77,000"
30.0,2025,FR-F840-30K-1 (57.0A),"238,400"
30.0,2024,FR-A840-30K-1 (77A),"2,30,500"
30.0,2025,FR-A840-30K-1 (57.0A),"303,300"
37.0,2024,FR-F840-37K-1 (77A),"2,17,000"
37.0,2025,FR-F840-37K-1 (70.0A),"305,200"
37.0,2024,FR-A840-37K-1 (93A),"2,66,500"
37.0,2025,FR-A840-37K-1 (71.0A),"397,000"
45.0,2024,FR-F840-45K-1 (93A),"2,89,000"
45.0,2025,FR-F840-45K-1 (85.0A),"407,400"
45.0,2024,FR-A840-45K-1 (116A),"3,14,000"
45.0,2025,FR-A840-45K-1 (86.0A),"400,900"
55.0,2024,FR-F840-55K-1 (116A),"3,25,000"
55.0,2025,FR-F840-55K-1 (106.0A),"411,400"
55.0,2024,FR-A840-55K-1 (180A),"3,71,500"
55.0,2025,FR-A840-55K-1 (110.0A),"465,700"
75.0,2024,FR-F840-75K-1 (180A),"4,23,000"
75.0,2025,FR-F840-75K-1 (144.0A),"481,300"
75.0,2024,FR-A840-75K-1 (216A),"5,40,000"
75.0,2025,FR-A840-75K-1 (144.0A),"624,400"
75.0,2024,,
75.0,2025,FR-HEL-H75K,"110,500"
90.0,2024,FR-F840-90K-1 (216A),"5,48,000"
90.0,2025,FR-F840-90K-1 (180.0A),"624,200"
90.0,2024,FR-A840-90K-1 (260A),"6,33,000"
90.0,2025,FR-A840-90K-1 (180.0A),"661,900"
90.0,2024,,
90.0,2025,FR-HEL-H90K,"118,000"
110.0,2024,FR-F840-110K-1 (260A),"5,79,500"
110.0,2025,FR-F840-110K-1 (216.0A),"660,800"
110.0,2024,FR-A840-110K-1 (325A),"6,79,000"
110.0,2025,FR-A840-110K-1 (216.0A),"1,050,700"
110.0,2024,,
110.0,2025,FR-HEL-H110K,"139,500"
132.0,2024,FR-F840-132K-1 (325A),"6,78,500"
132.0,2025,FR-F840-132K-1 (260.0A),"1,030,800"
132.0,2024,FR-A840-132K-1 (361A),"7,72,500"
132.0,2025,FR-A840-132K-1 (260.0A),"1,121,600"
132.0,2024,,
132.0,2025,FR-HEL-H132K,"154,800"
160.0,2024,FR-F840-160K-1 (361A),"7,90,000"
160.0,2025,FR-F840-160K-1 (325.0A),"1,100,300"
160.0,2024,FR-A840-160K-1 (432A),"12,98,500"
160.0,2025,FR-A840-160K-1 (325.0A),"1,653,500"
160.0,2024,,
160.0,2025,FR-HEL-H160K,"169,700"
185.0,2024,FR-F840-185K-1 (432A),"11,68,000"
185.0,2025,FR-F840-185K-1 (361.0A),"1,620,700"
185.0,2024,FR-A840-185K-1 (481A),"13,07,500"
185.0,2025,FR-A840-185K-1 (361.0A),"1,669,500"
185.0,2024,,
185.0,2025,FR-HEL-H185K,"185,900"
220.0,2024,FR-F840-220K-1 (481A),"12,38,500"
220.0,2025,FR-F840-220K-1 (432.0A),"1,636,400"
220.0,2024,FR-A840-220K-1 (547A),"16,07,000"
220.0,2025,FR-A840-220K-1 (432.0A),"2,253,000"
220.0,2024,,
220.0,2025,FR-HEL-H220K,"192,600"
250.0,2024,FR-F840-250K-1 (547A),"16,32,000"
250.0,2025,FR-F840-250K-1 (481.0A),"2,207,700"
250.0,2024,FR-A840-250K-1 (610A),"17,28,000"
250.0,2025,FR-A840-250K-1 (481.0A),"2,407,000"
250.0,2024,,
250.0,2025,FR-HEL-H250K,"221,200"
280.0,2024,FR-F840-280K-1 (610A),"17,16,500"
280.0,2025,FR-F840-280K-1 (547.0A),"2,358,000"
280.0,2024,FR-A840-280K-1 (683A),"18,16,500"
280.0,2025,FR-A840-280K-1 (547.0A),"2,445,200"
280.0,2024,,
280.0,2025,FR-HEL-H280K ,"237,400"
315.0,2024,FR-F840-315K-1 (683A),"18,11,000"
315.0,2025,FR-F840-315K-1 (610.0A),"2,395,500"
315.0,2024,FR-A840-315K-1 (770A),"21,08,000"
315.0,2025,FR-A842-315K-1 (610.0A),"5,285,400"
315.0,2024,,
315.0,2025,FR-HEL-H315K,"244,400"
355.0,2024,FR-F840-355K-1 (770A),"23,88,000"
355.0,2025,,
355.0,2024,FR-A840-355K-1 (866A),"24,48,500"
355.0,2025,FR-A842-355K-1 (683.0A),"6,672,500"
400.0,2024,FR-F840-400K-1 (866A),"27,65,500"
400.0,2025,,
400.0,2024,FR-A840-400K-1 (962A),"29,08,500"
400.0,2025,,
,2024,,
,2025,FR-CS82S-025-60 (2.5A),"16,200"
,2024,,
,2025,FR-CS82S-042-60 (4.2A),"17,500"
,2024,,
,2025,FR-CS82S-070-60 (7.0A),"19,900"
,2024,,
,2025,FR-CS82S-100-60 (10.0A),"23,300"
,2024,,
,2025,FR-CS84-012-60 (1.2A),"17,200"
,2024,,
,2025,FR-CS84-022-60 (2.2A),"20,700"
,2024,,
,2025,FR-CS84-036-60 (3.6A),"24,100"
,2024,,
,2025,FR-CS84-050-60 (5.0A),"27,500"
,2024,,
,2025,FR-CS84-080-60 (8.0A),"31,900"
,2024,,
,2025,FR-CS84-120-60 (12.0A),"43,700"
,2024,,
,2025,FR-CS84-160-60 (16.0A),"44,900"
,2024,,
,2025,FR-CS84-230-60 (23.0A),"72,000"
,2024,,
,2025,FR-CS84-295-60 (29.5A),"75,300"
