SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
196,FR-E840-5.5K-1 (12A),5.5,E,72500.0,,,,,,61625.0,58000.0,54375.0,50750.0,47125.0
197,FR-E840-5.5K-1-60,5.5,E,,,,47485.3,,,,,,,
198,FR-F820-5.5K-1,5.5,F,,,,56857.9,,,,,,,
199,FR-F820-5.5K-1 (23.0A),5.5,F,,88800.0,,,,,75480.0,71040.0,66600.0,62160.0,57720.0
200,FR-F820-5.5K-1 (25A),5.5,F,65500.0,,,,,,55675.0,52400.0,49125.0,45850.0,42575.0
201,FR-F840-5.5K-1,5.5,F,,,,62865.0,,,,,,,
202,FR-F840-5.5K-1 (11.5A),5.5,F,,98200.0,,,,,83470.0,78560.0,73650.0,68740.0,63830.0
203,FR-F840-5.5K-1 (12.6A),5.5,F,74500.0,,,,,,63325.0,59600.0,55875.0,52150.0,48425.0
204,FR-F840-5.5K-E1,5.5,F,,,,70307.2,,,,,,,
205,429 || MITSUBISHI VFD || FR-A840-5.5K-1,5.5,A,,,388092.28,,,,,,,,
206,FR-A820-5.5K-1,5.5,A,,,,80200.5,,,,,,,
207,FR-A820-5.5K-1 (24.0A),5.5,A,,125300.0,,,,,106505.0,100240.0,93975.0,87710.0,81445.0
208,FR-A820-5.5K-1 (34A),5.5,A,88000.0,,,,,,74800.0,70400.0,66000.0,61600.0,57200.0
209,FR-A840-5.5K-1,5.5,A,,,,83426.3,,,,,,,
210,FR-A840-5.5K-1 (12.0A),5.5,A,,130300.0,,,,,110755.0,104240.0,97725.0,91210.0,84695.0
211,FR-A840-5.5K-1 (17A),5.5,A,104500.0,,,,,,88825.0,83600.0,78375.0,73150.0,67925.0
212,FR-A840-5.5K-1-R2R,5.5,A,,,,93268.8,,,,,,,
213,430 || MITSUBISHI VFD || FR-D740-7.5K,7.5,D,,,1018593.79,,,,,,,,
