SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
573,FR-HEL-N355K,,HEL,,,,232930.7,,,,,,,
574,FR-CC2-H315K-60,,CC,,,,878814.6,,,,,,,
575,FR-CC2-H355K-60,,CC,,,,1107478.1,,,,,,,
576,FR-CC2-H400K-60,,CC,,,,1250276.9,,,,,,,
577,FR-CC2-H450K-60,,CC,,,,1421549.1,,,,,,,
578,FR-CC2-H500K-60,,CC,,,,1473758.8,,,,,,,
579,FR-CC2-H630K-60,,CC,,,,1823681.9,,,,,,,
580,FR-CS82S-025-60 (2.5A),,CS,,16200.0,,,,,13770.0,12960.0,12150.0,11340.0,10530.0
581,FR-CS82S-042-60 (4.2A),,CS,,17500.0,,,,,14875.0,14000.0,13125.0,12250.0,11375.0
582,FR-CS82S-070-60 (7.0A),,CS,,19900.0,,,,,16915.0,15920.0,14925.0,13930.0,12935.0
583,FR-CS82S-100-60 (10.0A),,CS,,23300.0,,,,,19805.0,18640.0,17475.0,16310.0,15145.0
584,FR-CS84-012-60 (1.2A),,CS,,17200.0,,,,,14620.0,13760.0,12900.0,12040.0,11180.0
585,FR-CS84-022-60 (2.2A),,CS,,20700.0,,,,,17595.0,16560.0,15525.0,14490.0,13455.0
586,FR-CS84-036-60 (3.6A),,CS,,24100.0,,,,,20485.0,19280.0,18075.0,16870.0,15665.0
587,FR-CS84-050-60 (5.0A),,CS,,27500.0,,,,,23375.0,22000.0,20625.0,19250.0,17875.0
588,FR-CS84-080-60 (8.0A),,CS,,31900.0,,,,,27115.0,25520.0,23925.0,22330.0,20735.0
589,FR-CS84-120-60 (12.0A),,CS,,43700.0,,,,,37145.0,34960.0,32775.0,30590.0,28405.0
590,FR-CS84-160-60 (16.0A),,CS,,44900.0,,,,,38165.0,35920.0,33675.0,31430.0,29185.0
591,FR-CS84-230-60 (23.0A),,CS,,72000.0,,,,,61200.0,57600.0,54000.0,50400.0,46800.0
592,FR-CS84-295-60 (29.5A),,CS,,75300.0,,,,,64005.0,60240.0,56475.0,52710.0,48945.0
593,FR-HAL-H0.4K,,HAL,,,,10883.9,,,,,,,
594,FR-HAL-H0.75K,,HAL,,,,11010.9,,,,,,,
595,FR-HAL-H1.5K,,HAL,,,,11201.4,,,,,,,
596,FR-HAL-H110K,,HAL,,,,115773.2,,,,,,,
597,FR-HAL-H11K,,HAL,,,,23914.1,,,,,,,
598,FR-HAL-H15K,,HAL,,,,30378.4,,,,,,,
599,FR-HAL-H18.5K,,HAL,,,,34163.0,,,,,,,
600,FR-HAL-H185K,,HAL,,,,201218.8,,,,,,,
601,FR-HAL-H2.2K,,HAL,,,,11366.5,,,,,,,
602,FR-HAL-H22K,,HAL,,,,38074.6,,,,,,,
603,FR-HAL-H280K,,HAL,,,,239179.1,,,,,,,
604,FR-HAL-H3.7K,,HAL,,,,13855.7,,,,,,,
605,FR-HAL-H30K,,HAL,,,,41554.4,,,,,,,
606,FR-HAL-H355K,,HAL,,,,361340.4,,,,,,,
607,FR-HAL-H37K,,HAL,,,,43649.9,,,,,,,
608,FR-HAL-H45K,,HAL,,,,54495.7,,,,,,,
609,FR-HAL-H5.5K,,HAL,,,,17564.1,,,,,,,
610,FR-HAL-H55K,,HAL,,,,56883.3,,,,,,,
611,FR-HAL-H560K,,HAL,,,,711860.4,,,,,,,
612,FR-HAL-H7.5K,,HAL,,,,18796.0,,,,,,,
613,FR-HAL-H75K,,HAL,,,,75831.7,,,,,,,
