Model Name,COGS
FR-E840-0016-5-60,"31,470.60"
FR-E840-0026-5-60,"32,867.60"
FR-E840-0040-5-60,"33,515.30"
FR-E840-0060-5-60,"36,093.40"
FR-E840-0095-5-60,"37,769.80"
FR-E840-0120-5-60,"44,234.10"
FR-E840-0170-5-60,"45,466.00"
FR-E840-0230-5-60,"80,670.40"
FR-E840-0300-5-60,"82,029.30"
FR-E840-0380-5-60,"1,22,618.50"
FR-E840-0440-5-60,"1,23,850.40"
FR-D720-11K,"87,731.60"
FR-D720-15K,"97,764.60"
FR-D740-11K,"92,964.00"
FR-D740-15K,"1,05,067.10"
FR-D820-0.1K-008-60,"14,160.50"
FR-D820-0.2K-014-60,"15,341.60"
FR-D820-0.4K-025-60,"16,738.60"
FR-D820-0.75K-042-60,"18,872.20"
FR-D820-1.5K-070-60,"21,831.30"
FR-D820-2.2K-100-60,"23,571.20"
FR-D820-3.7K-165-60,"26,568.40"
FR-D820-5.5K-238-60,"45,910.50"
FR-D820-7.5K-318-60,"51,676.30"
FR-D820S-0.1K-008-60,"15,113.00"
FR-D820S-0.2K-014-60,"16,903.70"
FR-D820S-0.4K-025-60,"18,554.70"
FR-D820S-0.75K-042-60,"20,053.30"
FR-D820S-1.5K-070-60,"25,400.00"
FR-D820S-2.2K-100-60,"28,092.40"
FR-D840-0.4K-012-60,"21,958.30"
FR-D840-0.75K-022-60,"23,469.60"
FR-D840-1.5K-037-60,"23,952.20"
FR-D840-2.2K-050-60,"27,482.80"
FR-D840-3.7K-081-60,"29,997.40"
FR-D840-5.5K-120-60,"40,030.40"
FR-D840-7.5K-163-60,"44,818.30"
FR-D810W-0.1K-008-60,"16,014.70"
FR-D810W-0.2K-014-60,"17,919.70"
FR-D810W-0.4K-025-60,"19,659.60"
FR-D810W-0.75K-042-60,"24,320.50"
FR-HEL-H75K,"67,500.50"
FR-HEL-H90K,"72,326.50"
FR-HEL-H110K,"85,204.30"
FR-HEL-H132K,"94,526.10"
FR-HEL-H160K,"1,03,632.00"
FR-HEL-H185K,"1,12,890.30"
FR-HEL-H220K,"1,17,538.50"
FR-HEL-H250K,"1,35,051.80"
FR-HEL-H280K,"1,44,983.20"
FR-HEL-H315K,"1,49,415.50"
FR-HEL-H0.4K,"6,362.70"
FR-HEL-H0.75K,"6,997.70"
FR-HEL-H1.5K,"7,835.90"
FR-HEL-H2.2K,"8,623.30"
FR-HEL-H3.7K,"10,134.60"
FR-HEL-H5.5K,"13,042.90"
FR-HEL-H7.5K,"13,919.20"
FR-HEL-H11K,"16,433.80"
FR-HEL-H15K,"18,910.30"
FR-HEL-H18.5K,"22,783.80"
FR-HEL-H22K,"25,704.80"
